admin_id,commodity,grown
AFG.1_1,Apples ,1
AFG.1_1,Bananas,0
AFG.1_1,Barley ,1
AFG.1_1,Beans,0
AFG.1_1,Bovine Meat,1
AFG.1_1,Cassava ,0
AFG.1_1,"Cereals, Other",0
AFG.1_1,"Citrus, Other",0
AFG.1_1,Cloves,0
AFG.1_1,Cocoa Beans ,0
AFG.1_1,Coconuts,0
AFG.1_1,Coffee ,0
AFG.1_1,Dates,0
AFG.1_1,"Fruits, other",1
AFG.1_1,Grapefruit ,0
AFG.1_1,Grapes,1
AFG.1_1,Groundnuts,0
AFG.1_1,"Lemons, Limes ",0
AFG.1_1,Maize ,1
AFG.1_1,Millet ,1
AFG.1_1,Mutton & Goat Meat,1
AFG.1_1,Nuts ,1
AFG.1_1,Oats,0
AFG.1_1,"Oilcrops, Other",1
AFG.1_1,Olives,0
AFG.1_1,Onions,1
AFG.1_1,"Oranges, Mandarines",1
AFG.1_1,Palm Oil,0
AFG.1_1,Peas,0
AFG.1_1,Pepper,0
AFG.1_1,Pigmeat,0
AFG.1_1,Pimento,0
AFG.1_1,Pineapples ,0
AFG.1_1,Plantains,0
AFG.1_1,Potatoes ,1
AFG.1_1,Poultry Meat,1
AFG.1_1,"Pulses, Other ",1
AFG.1_1,Rape and Mustardseed,0
AFG.1_1,Rice ,1
AFG.1_1,"Roots, Other",0
AFG.1_1,Rye ,0
AFG.1_1,Sesame seed,1
AFG.1_1,Sorghum ,0
AFG.1_1,Soyabeans,0
AFG.1_1,"Spices, Other",0
AFG.1_1,Sugar beet,1
AFG.1_1,Sugar cane,1
AFG.1_1,Sunflower seed,0
AFG.1_1,Sweet potatoes,0
AFG.1_1,Tea,0
AFG.1_1,Tomatoes ,0
AFG.1_1,"Vegetables, other",1
AFG.1_1,Wheat ,1
AFG.1_1,Yams,0
AFG.10_1,Apples ,0
AFG.10_1,Bananas,0
AFG.10_1,Barley ,1
AFG.10_1,Beans,0
AFG.10_1,Bovine Meat,1
AFG.10_1,Cassava ,0
AFG.10_1,"Cereals, Other",0
AFG.10_1,"Citrus, Other",0
AFG.10_1,Cloves,0
AFG.10_1,Cocoa Beans ,0
AFG.10_1,Coconuts,0
AFG.10_1,Coffee ,0
AFG.10_1,Dates,0
AFG.10_1,"Fruits, other",0
AFG.10_1,Grapefruit ,0
AFG.10_1,Grapes,0
AFG.10_1,Groundnuts,0
AFG.10_1,"Lemons, Limes ",0
AFG.10_1,Maize ,1
AFG.10_1,Millet ,1
AFG.10_1,Mutton & Goat Meat,1
AFG.10_1,Nuts ,0
AFG.10_1,Oats,0
AFG.10_1,"Oilcrops, Other",0
AFG.10_1,Olives,0
AFG.10_1,Onions,0
AFG.10_1,"Oranges, Mandarines",0
AFG.10_1,Palm Oil,0
AFG.10_1,Peas,0
AFG.10_1,Pepper,0
AFG.10_1,Pigmeat,0
AFG.10_1,Pimento,0
AFG.10_1,Pineapples ,0
AFG.10_1,Plantains,0
AFG.10_1,Potatoes ,1
AFG.10_1,Poultry Meat,1
AFG.10_1,"Pulses, Other ",1
AFG.10_1,Rape and Mustardseed,0
AFG.10_1,Rice ,1
AFG.10_1,"Roots, Other",0
AFG.10_1,Rye ,0
AFG.10_1,Sesame seed,0
AFG.10_1,Sorghum ,0
AFG.10_1,Soyabeans,0
AFG.10_1,"Spices, Other",0
AFG.10_1,Sugar beet,0
AFG.10_1,Sugar cane,0
AFG.10_1,Sunflower seed,0
AFG.10_1,Sweet potatoes,0
AFG.10_1,Tea,0
AFG.10_1,Tomatoes ,0
AFG.10_1,"Vegetables, other",0
AFG.10_1,Wheat ,1
AFG.10_1,Yams,0
AFG.11_1,Apples ,0
AFG.11_1,Bananas,0
AFG.11_1,Barley ,1
AFG.11_1,Beans,0
AFG.11_1,Bovine Meat,1
AFG.11_1,Cassava ,0
AFG.11_1,"Cereals, Other",0
AFG.11_1,"Citrus, Other",0
AFG.11_1,Cloves,0
AFG.11_1,Cocoa Beans ,0
AFG.11_1,Coconuts,0
AFG.11_1,Coffee ,0
AFG.11_1,Dates,0
AFG.11_1,"Fruits, other",0
AFG.11_1,Grapefruit ,0
AFG.11_1,Grapes,0
AFG.11_1,Groundnuts,0
AFG.11_1,"Lemons, Limes ",0
AFG.11_1,Maize ,1
AFG.11_1,Millet ,1
AFG.11_1,Mutton & Goat Meat,1
AFG.11_1,Nuts ,0
AFG.11_1,Oats,0
AFG.11_1,"Oilcrops, Other",0
AFG.11_1,Olives,0
AFG.11_1,Onions,0
AFG.11_1,"Oranges, Mandarines",0
AFG.11_1,Palm Oil,0
AFG.11_1,Peas,0
AFG.11_1,Pepper,0
AFG.11_1,Pigmeat,0
AFG.11_1,Pimento,0
AFG.11_1,Pineapples ,0
AFG.11_1,Plantains,0
AFG.11_1,Potatoes ,1
AFG.11_1,Poultry Meat,1
AFG.11_1,"Pulses, Other ",1
AFG.11_1,Rape and Mustardseed,0
AFG.11_1,Rice ,1
AFG.11_1,"Roots, Other",0
AFG.11_1,Rye ,0
AFG.11_1,Sesame seed,0
AFG.11_1,Sorghum ,0
AFG.11_1,Soyabeans,0
AFG.11_1,"Spices, Other",0
AFG.11_1,Sugar beet,0
AFG.11_1,Sugar cane,0
AFG.11_1,Sunflower seed,0
AFG.11_1,Sweet potatoes,0
AFG.11_1,Tea,0
AFG.11_1,Tomatoes ,0
AFG.11_1,"Vegetables, other",0
AFG.11_1,Wheat ,1
AFG.11_1,Yams,0
AFG.12_1,Apples ,1
AFG.12_1,Bananas,0
AFG.12_1,Barley ,1
AFG.12_1,Beans,0
AFG.12_1,Bovine Meat,1
AFG.12_1,Cassava ,0
AFG.12_1,"Cereals, Other",0
AFG.12_1,"Citrus, Other",1
AFG.12_1,Cloves,0
AFG.12_1,Cocoa Beans ,0
AFG.12_1,Coconuts,0
AFG.12_1,Coffee ,0
