,response
student_2,"That quiz made me feel bad, I thought i was being environmentally sound but turns out no matter what you do youre still impacting the planet which in turn impacts someone else. An effective way to communicate this issue is making it more known, most people think driving an electric car is being super conscious but its still affecting the environment. We could educate more so we know wjhat to do to leave less of a footprint. "
student_3,"I did not think that was possible. Im upset that it said i took 16 hours off of someones life, and knowing that I have made similar decisions before, i wonder if i have already shortened a persons life. I think it was an effective way to tell people, very direct "
student_4,This quiz was a great reality check and I feel it very effectively communicates the effects of simple day-to-day choices on someone else. It showed that even the most irrelevant choices in our lives can have drastic impacts on our species. It was shocking to see that these 3 choices could have such a strong outcome on another individuals life. 
student_5,"I enjoyed this quiz, it showed how my decision to eat chickpeas was the best option, I am vegan and this was nice to see, I also noticed how plug in hybrid car is the 4th worst option, and this is my main mode of transportation, I hope I can help create better choices that help the environment  "
student_6,I was incredibly shocked that with just a few choices I could take 16 hours off someone’s life. It make me feel really sad because I frequently make some of these choices every day. I think making people more aware of these consequences seems really important.  
student_7,I did not realize how my actions had deeply impacted the lives of others. I did feel like it was a good way to communicate the issue at hand. I can start trying to use public transportation more and add more plant-based meals to my diet. 
student_8,"My results were ""Your choices took 16.72 hours off someone else's life due to negative impacts of climate change. This person likely resides in South Asia or Sub-Saharan Africa."" I was surprised at first by this, but than thought about it and am not that surprised. It made me feel sad and guilty and I think it is an effective way to communicate this issue and show people that even their simple actions are affecting others right now. Some people think that these choices will just be a problem for future generations, but it is a problem right now. It could be improved by adding more questions, or having a longer option for the quiz that incorporates more aspects. "
student_9,"It made me feel partially guilty. I think I could reduce my impact, however, I know that it is nearly impossible for me to get it down to 0 hours. I think an effective way to communicate the issue is by spreading awareness about the impact of small decisions people make such as food. For me, I think that I could improve my travel/transportation section of my impact. "
student_10,"This was very interesting to see a number attached to my choices, because normal that's not something I would think about. Makes me wonder what other choices I could make to be more sustainable. It conveyed its message effectively and simply, I would love to see a longer version. "
student_11,"I thought it was interesting how it shows how your actions are taking someone else's life away. It made me feel like, as a collective population, we are probably taking a lot of life away due to very avoidable lifestyle choices. It was an effective way to communicate this issue. I think it could give you an estimate of how much life 100 people like yourself are taking away. I think this could be more impactful. "
student_12,"Taking the quiz made me realize how dangerous some of the actions we have cause for pollution and these things happen everyday, multiple times a day. I think it is an effective way of communicating the problem as it is short and easy to consume, making people question their decisions. I think one way it could be improved is making a more detailed or longer version for more effects, or providing data to show the relationship between choosing certain options and the impacts that they have. "
student_13,My thoughts on this makes me feel bad about my decisions after finding out my decisions would change someone’s life. I think it was an effective way to communicate the issue because now I am aware how much one decision could harm someone else. I think I could change some of my decisions I make everyday in order to change someone else’s life. 
student_14,"The results from my answers made me realize some of the choices I usually make and the effects of them. The result of 16.79 hours made me feel worse, and seeing that the options I choose were towards the worse end didn't make me feel any better. I think this is a great way to get people to start thinking and understanding the effects their choices have. Adding new and more choices, also more questions on everyday decisions somebody may make could improve and further strengthen this topic.  "
student_15,"This made me feel uneasy about the simple choices I make especially with driving and flying. Yes, it was effective because it made me think and realize how important my everyday tasks are and how severely they can impact someone else's life. I could fly less often and only when it is not in a drivable area also I could use electric cars more.  "
